recipe_id,ingredient_id,quantity,quantity_desc,variant
458729,4053,2.0,teaspoons,olive oil
458729,11156,2.0,tablespoons,chives
100864,19334,1.0,cups,brown sugar
100864,2010,1.0,teaspoons,cinnamon
100864,2025,1.0,teaspoons,nutmeg
100864,20038,1.0,cups,oats
164100,2042,1.0,teaspoons,dried thyme
164100,11090,2.0,cups,frozen broccoli florets
164100,1161,1.0,cups,mozzarella cheese
164100,11240,8.0,ounces,mushrooms
164100,11390,2.0,cups,frozen hash brown potatoes
164100,2026,1.0,teaspoons,onion powder
111072,2050,1.0,teaspoons,pure vanilla extract
111072,20082,3.0,cups,self-rising flour
165438,9206,1.0,cups,orange juice
165438,9299,1.0,cups,raisins
165438,2050,1.0,teaspoons,vanilla
165438,20481,3.0,cups,all-purpose flour
165438,18372,1.0,teaspoons,baking soda
165438,18373,2.0,teaspoons,cream of tartar
8606,2029,1.0,cups,parsley
8606,2047,1.0,teaspoons,salt
8606,6121,1.0,pounds,mushroom
8606,11215,1.0,,garlic
8606,6971,1.0,teaspoons,worcestershire sauce
429838,2047,1.0,teaspoons,salt
429838,11693,28.0,ounces,crushed tomatoes
429838,4053,1.0,tablespoons,olive oil
429838,2027,1.0,teaspoons,dried oregano
429838,11215,2.0,,garlic cloves
429838,2044,2.0,tablespoons,fresh basil
423880,16252,3.0,cups,plain yogurt
423880,9436,1.0,cups,mango nectar
126072,2048,1.0,tablespoons,vinegar
126072,4556,1.0,cups,shortening
126072,2047,1.0,,salt
20238,2047,1.0,teaspoons,salt
20238,1270,1.0,cups,sharp cheddar cheese
292147,18375,2.0,teaspoons,dry active yeast
292147,2047,4.0,milliliters,salt
292147,19296,1.0,cups,honey
292147,1094,1.0,cups,buttermilk
292147,48052,2.0,tablespoons,gluten
292147,20080,3.0,cups,whole wheat flour
292147,4073,3.0,tablespoons,margarine
213681,4582,1.0,cups,canola oil
213681,9299,1.0,cups,raisins
213681,2047,1.0,teaspoons,salt
213681,9040,3.0,,bananas
213681,12155,1.0,cups,walnuts
213681,18372,1.0,teaspoons,baking soda
449768,4053,1.0,cups,olive oil
449768,2047,,,salt
449768,2014,8.0,teaspoons,cumin seeds
449768,2030,,,fresh ground black pepper
302815,11215,1.0,,garlic clove
302815,1033,1.0,cups,parmesan cheese
302815,20420,8.0,ounces,pasta
240311,2047,1.0,teaspoons,salt
240311,19335,2.0,cups,granulated sugar
240311,2010,1.0,teaspoons,ground cinnamon
240311,1053,1.0,cups,heavy cream
240311,18069,1.0,,white bread
245950,4609,3.0,tablespoons,bacon grease
245950,2004,1.0,,bay leaf
245950,2047,1.0,teaspoons,salt
245950,11693,1.0,cups,canned tomatoes
245950,11143,,,celery leaves
170336,2047,1.0,teaspoons,salt
170336,2011,1.0,teaspoons,ground cloves
170336,1145,3.0,cups,unsalted butter
