recipe_id,tag_id
42198,361
42198,326
42198,89
42198,183
42198,246
42198,211
42198,178
42198,232
42198,96
42198,126
42198,2
42198,231
42198,98
42198,180
42198,83
42198,177
42198,31
42198,311
42198,321
8559,361
8559,326
8559,89
8559,183
8559,93
8559,246
8559,211
8559,204
8559,182
8559,27
8559,238
8559,337
8559,10
8559,244
8559,99
8559,145
8559,151
8559,165
8559,348
8559,310
8559,98
8559,213
8559,277
8559,188
8559,327
8559,109
8559,6
37073,353
37073,326
37073,89
37073,183
37073,246
37073,178
37073,143
37073,7
37073,284
37073,243
37073,337
37073,218
37073,103
37073,98
37073,180
37073,175
37073,179
37073,173
37073,144
37073,177
37073,109
30131,351
30131,326
30131,89
30131,93
30131,246
30131,211
30131,204
30131,118
30131,178
30131,84
30131,10
30131,24
30131,103
30131,97
30131,151
30131,165
30131,313
30131,186
30131,98
30131,277
30131,174
30131,153
30131,177
30131,109
30131,137
30131,207
30300,351
30300,326
30300,89
30300,183
30300,93
30300,246
30300,211
30300,178
30300,143
30300,7
30300,12
30300,265
30300,337
30300,15
30300,154
30300,103
30300,202
30300,30
30300,97
30300,99
30300,151
30300,165
30300,176
30300,230
30300,338
30300,98
30300,180
30300,175
30300,179
30300,173
30300,83
30300,174
30300,144
30300,177
30300,321
30300,327
30300,207
30300,4
30300,322
95926,351
95926,326
95926,89
95926,183
95926,93
95926,246
95926,211
95926,204
95926,7
95926,181
95926,126
95926,10
95926,294
95926,103
95926,111
95926,30
95926,114
95926,165
95926,338
95926,98
95926,268
95926,156
95926,328
95926,330
95926,22
95926,46
95926,321
95926,317
95926,327
95926,247
208179,352
208179,326
208179,89
208179,246
208179,178
208179,96
208179,50
208179,98
208179,49
208179,177
310570,360
310570,89
310570,183
310570,93
310570,246
310570,272
310570,182
310570,106
310570,103
310570,111
310570,63
310570,6
109818,353
109818,326
109818,89
109818,183
109818,246
109818,7
109818,284
109818,337
109818,103
109818,98
101115,352
101115,326
101115,89
101115,246
101115,118
101115,7
101115,182
101115,103
101115,98
101115,213
101115,207
60938,353
60938,326
60938,89
60938,183
60938,246
60938,211
60938,12
60938,181
60938,284
60938,287
60938,106
60938,243
60938,337
60938,218
60938,99
60938,114
60938,63
60938,95
60938,310
60938,98
60938,83
60938,321
60938,109
60938,247
60938,279
60938,322
353171,360
353171,89
353171,183
353171,246
353171,211
353171,96
353171,106
353171,126
353171,103
353171,30
353171,338
353171,98
353171,180
353171,83
353171,177
353171,46
353171,321
353171,317
353171,6
163238,360
163238,89
163238,183
163238,246
163238,211
163238,7
163238,40
163238,182
163238,27
163238,103
163238,310
163238,83
163238,156
163238,188
163238,46
163238,321
163238,109
163238,6
16391,352
16391,326
16391,89
16391,183
16391,93
16391,246
16391,211
16391,204
16391,178
16391,143
16391,7
16391,126
16391,10
16391,103
16391,151
16391,176
16391,98
16391,129
16391,74
16391,180
16391,175
16391,179
16391,173
16391,219
16391,252
16391,144
16391,177
16391,31
16391,37
16391,207
196264,353
196264,326
196264,89
196264,246
196264,178
196264,143
196264,269
196264,182
196264,84
196264,336
196264,338
196264,235
196264,98
196264,175
196264,179
196264,173
196264,174
196264,273
196264,144
196264,177
441744,361
441744,3
441744,326
441744,89
441744,93
441744,246
441744,211
441744,204
441744,178
441744,269
441744,84
441744,289
441744,10
441744,103
441744,30
441744,97
441744,165
441744,98
441744,87
441744,180
441744,173
441744,174
441744,156
441744,177
441744,4
441744,124
16327,351
16327,326
16327,89
16327,183
16327,93
16327,246
16327,211
16327,118
16327,143
16327,7
16327,284
16327,337
16327,103
16327,111
16327,176
16327,338
16327,98
16327,180
16327,175
16327,179
16327,173
16327,174
16327,156
16327,144
16327,177
16327,207
280918,354
280918,5
280918,326
280918,89
280918,183
280918,246
280918,7
280918,40
280918,238
280918,218
280918,103
280918,188
280918,109
286851,353
286851,326
286851,89
286851,183
286851,93
286851,246
286851,211
286851,204
286851,118
286851,143
286851,182
286851,27
286851,337
286851,10
286851,103
286851,30
286851,165
286851,98
286851,213
286851,175
286851,173
286851,174
286851,156
286851,144
286851,138
286851,328
286851,177
286851,188
286851,224
286851,321
286851,207
298874,351
298874,326
298874,246
298874,103
298874,98
298874,173
298874,174
298874,177
298874,4
218648,351
218648,326
218648,89
218648,246
218648,7
218648,96
218648,103
218648,30
218648,165
218648,85
218648,98
29916,351
29916,326
29916,89
29916,183
29916,246
29916,118
29916,178
29916,143
29916,7
29916,32
29916,106
29916,103
29916,176
29916,117
29916,98
29916,180
29916,175
29916,280
29916,173
29916,177
29916,109
29916,285
29916,207
29916,4
342698,353
342698,326
342698,89
342698,183
342698,246
342698,119
342698,96
342698,85
342698,72
342698,207
35632,351
35632,326
35632,89
35632,246
35632,211
35632,7
35632,12
35632,103
35632,202
35632,30
35632,112
35632,165
35632,230
35632,302
35632,313
35632,348
35632,100
35632,301
35632,98
35632,129
35632,277
35632,83
35632,156
35632,321
35632,327
35632,207
35632,4
35632,322
198343,360
198343,89
198343,183
198343,246
198343,119
198343,39
198343,126
198343,103
198343,30
198343,251
198343,330
198343,22
198343,207
198343,6
96727,352
96727,326
96727,89
96727,183
96727,246
96727,12
96727,106
96727,103
96727,301
96727,63
96727,98
96727,147
96727,150
96727,174
96727,149
96727,177
96727,207
474258,351
474258,326
474258,89
474258,183
474258,246
474258,7
474258,284
474258,223
474258,103
474258,224
474258,4
344420,351
344420,326
344420,89
344420,93
344420,246
344420,204
344420,178
344420,7
344420,12
344420,191
344420,103
344420,100
344420,98
344420,173
344420,174
344420,156
344420,177
16451,352
16451,326
16451,89
16451,183
16451,93
16451,246
16451,211
16451,204
16451,143
16451,12
16451,106
16451,337
16451,53
16451,218
16451,99
16451,114
16451,176
16451,63
16451,42
16451,98
16451,180
16451,175
16451,179
16451,173
16451,174
16451,198
16451,144
16451,177
16451,109
16451,247
67142,353
67142,326
67142,89
67142,183
67142,93
67142,246
67142,211
67142,178
67142,78
67142,96
67142,126
67142,218
67142,103
67142,30
67142,244
67142,165
67142,230
67142,302
67142,313
67142,98
67142,180
67142,277
67142,156
67142,328
67142,177
67142,327
67142,109
67142,207
67142,4
327979,351
327979,326
327979,89
327979,183
327979,246
327979,118
327979,178
327979,143
327979,7
327979,32
327979,126
327979,103
327979,176
327979,336
327979,338
327979,286
327979,98
327979,180
327979,175
327979,179
327979,173
327979,144
327979,177
327979,190
327979,330
327979,221
327979,233
327979,207
327979,4
449891,361
449891,8
449891,326
449891,89
449891,183
449891,93
449891,246
449891,211
449891,204
449891,178
449891,143
449891,78
449891,96
449891,126
449891,10
449891,103
449891,99
449891,112
449891,98
449891,180
449891,277
449891,177
449891,13
449891,4
221942,352
221942,326
221942,89
221942,183
221942,93
221942,246
221942,211
221942,204
221942,143
221942,96
221942,106
221942,256
221942,10
221942,218
221942,103
221942,244
221942,99
221942,151
221942,165
221942,166
221942,176
221942,248
221942,98
221942,180
221942,175
221942,156
221942,104
221942,120
221942,177
221942,224
221942,46
221942,327
221942,109
221942,4
497150,352
497150,326
497150,89
497150,183
497150,246
497150,119
497150,101
497150,96
497150,166
497150,85
497150,23
497150,131
497150,98
497150,224
497150,207
497150,124
15211,353
15211,326
15211,89
15211,183
15211,93
15211,246
15211,211
15211,204
15211,178
15211,7
15211,58
15211,284
15211,243
15211,337
15211,10
15211,53
15211,122
15211,218
15211,103
15211,111
15211,99
15211,112
15211,151
15211,165
15211,348
15211,102
15211,98
15211,200
15211,325
15211,180
15211,277
15211,219
15211,177
15211,109
127048,353
127048,326
127048,89
127048,246
127048,178
127048,143
127048,269
127048,75
127048,55
127048,84
127048,103
127048,176
127048,98
127048,180
127048,175
127048,179
127048,318
127048,177
127048,4
127048,322
26420,351
26420,326
26420,89
26420,183
26420,246
26420,178
26420,143
26420,269
26420,84
26420,276
26420,103
26420,202
26420,176
26420,283
26420,98
26420,175
26420,179
26420,173
26420,273
26420,177
26420,281
26420,207
26420,4
26420,322
187210,351
187210,326
187210,89
187210,93
187210,246
187210,204
187210,84
187210,10
187210,48
187210,294
187210,103
187210,30
187210,146
187210,98
187210,175
187210,147
187210,148
187210,86
187210,149
187210,177
187210,4
370567,351
370567,326
370567,89
370567,93
370567,246
370567,204
370567,7
370567,181
370567,287
370567,191
370567,103
370567,98
370567,147
370567,149
269443,351
269443,326
269443,89
269443,246
269443,211
269443,12
269443,103
269443,30
269443,151
269443,100
269443,310
269443,98
269443,200
269443,147
269443,150
269443,174
269443,304
269443,149
269443,177
269443,315
269443,185
269443,109
286484,351
286484,326
286484,89
286484,183
286484,246
286484,118
286484,178
286484,143
286484,7
286484,40
286484,181
286484,106
286484,126
286484,103
286484,165
286484,176
286484,98
286484,180
286484,175
286484,157
286484,179
286484,173
286484,328
286484,177
286484,330
286484,22
286484,207
286484,4
480558,360
480558,89
480558,183
480558,246
480558,118
480558,178
480558,143
480558,7
480558,96
480558,126
480558,103
480558,125
480558,98
480558,180
480558,175
480558,179
480558,144
480558,177
480558,207
480558,6
236346,352
236346,326
236346,89
236346,183
236346,246
236346,118
236346,178
236346,7
236346,284
236346,243
236346,337
236346,103
236346,98
236346,180
236346,156
236346,177
236346,207
11361,351
11361,326
11361,89
11361,183
11361,246
11361,211
11361,7
11361,339
11361,12
11361,40
11361,181
11361,182
11361,284
11361,27
11361,238
11361,103
11361,99
11361,114
11361,310
11361,98
11361,174
11361,177
11361,188
11361,109
11361,247
11361,4
458729,361
458729,8
458729,326
458729,89
458729,183
458729,246
458729,211
458729,178
458729,284
458729,337
458729,103
458729,338
458729,98
458729,180
458729,175
458729,179
458729,173
458729,174
458729,144
458729,177
458729,16
100864,353
100864,326
100864,89
100864,183
100864,246
100864,178
100864,143
100864,78
100864,96
100864,126
100864,98
100864,180
100864,177
100864,13
100864,234
100864,225
164100,353
164100,326
164100,89
164100,183
164100,246
164100,211
164100,40
164100,181
164100,106
164100,337
164100,103
164100,30
164100,151
164100,165
164100,338
164100,63
164100,105
164100,98
164100,130
164100,156
164100,120
164100,328
164100,41
164100,46
164100,327
164100,207
111072,353
111072,326
111072,89
111072,246
111072,211
111072,96
111072,218
111072,151
111072,50
111072,109
165438,353
165438,326
165438,89
165438,246
165438,119
165438,96
165438,50
165438,207
8606,352
8606,326
8606,89
8606,93
8606,246
8606,211
8606,204
8606,178
8606,182
8606,84
8606,10
8606,53
8606,218
8606,103
8606,145
8606,151
8606,98
8606,175
8606,173
8606,174
8606,144
8606,177
8606,109
8606,4
429838,351
429838,326
429838,89
429838,183
429838,93
429838,246
429838,178
429838,182
429838,223
429838,337
429838,103
429838,111
429838,160
429838,98
429838,175
429838,173
429838,174
429838,156
429838,144
429838,177
429838,224
429838,297
429838,329
429838,4
423880,361
423880,3
423880,326
423880,89
423880,183
423880,93
423880,246
423880,211
423880,118
423880,7
423880,32
423880,106
423880,126
423880,15
423880,154
423880,103
423880,99
423880,151
423880,338
423880,286
423880,98
423880,130
423880,280
423880,252
423880,104
423880,120
423880,330
423880,184
423880,109
423880,285
423880,207
423880,4
126072,351
126072,326
126072,89
126072,246
126072,118
126072,7
126072,232
126072,96
126072,103
126072,92
126072,98
126072,180
126072,177
126072,207
126072,4
20238,353
20238,326
20238,89
20238,183
20238,93
20238,246
20238,211
20238,204
20238,12
20238,40
20238,106
20238,10
20238,294
20238,218
20238,99
20238,151
20238,63
20238,105
20238,98
20238,147
20238,83
20238,51
20238,174
20238,149
20238,177
20238,321
20238,109
292147,360
292147,89
292147,246
292147,118
292147,39
292147,38
292147,103
292147,30
292147,350
292147,109
292147,285
292147,207
292147,6
213681,360
213681,89
213681,183
213681,93
213681,246
213681,204
213681,39
213681,126
213681,10
213681,103
213681,98
213681,179
213681,156
213681,251
213681,177
213681,330
213681,22
213681,6
449768,355
449768,183
449768,246
449768,211
449768,178
449768,7
449768,84
449768,337
449768,103
449768,338
449768,98
449768,129
449768,180
449768,175
449768,179
449768,173
449768,174
449768,144
449768,177
449768,329
449768,206
449768,322
302815,351
302815,326
302815,89
302815,183
302815,93
302815,246
302815,211
302815,7
302815,182
302815,284
302815,106
302815,223
302815,103
302815,111
302815,30
302815,165
302815,63
302815,98
302815,213
302815,83
302815,224
302815,321
302815,271
302815,207
240311,360
240311,89
240311,246
240311,211
240311,96
240311,98
240311,87
240311,206
240311,6
245950,352
245950,326
245950,89
245950,183
245950,93
245950,246
245950,211
245950,204
245950,178
245950,269
245950,182
245950,84
245950,337
245950,53
245950,103
245950,98
245950,173
245950,83
245950,174
245950,273
245950,177
245950,329
245950,321
170336,353
170336,326
170336,89
170336,93
170336,246
170336,119
170336,96
170336,274
170336,111
170336,85
170336,207
471666,352
471666,326
471666,89
471666,246
471666,178
471666,7
471666,96
471666,103
471666,50
471666,98
471666,180
471666,49
471666,177
496213,352
496213,326
496213,89
496213,246
496213,143
496213,7
496213,96
496213,287
496213,103
496213,30
496213,97
496213,165
496213,176
496213,85
496213,98
496213,180
496213,175
496213,179
496213,144
496213,177
400243,351
400243,326
400243,89
400243,246
400243,178
400243,143
400243,7
400243,96
400243,103
400243,176
400243,125
400243,121
400243,98
400243,180
400243,175
400243,179
400243,173
400243,174
400243,144
400243,177
400243,109
501408,351
501408,326
501408,89
501408,183
501408,246
501408,118
501408,7
501408,220
501408,40
501408,106
501408,126
501408,103
501408,30
501408,98
501408,180
501408,130
501408,173
501408,120
501408,177
501408,207
501408,4
122497,351
122497,326
122497,89
122497,246
122497,118
122497,178
122497,7
122497,32
122497,103
122497,165
122497,98
122497,180
122497,156
122497,177
122497,207
122497,4
144841,360
144841,89
144841,246
144841,211
144841,119
144841,96
144841,103
144841,151
144841,50
144841,129
144841,321
144841,317
144841,109
144841,285
144841,195
144841,207
144841,6
152441,351
152441,326
152441,89
152441,183
152441,93
152441,246
152441,211
152441,204
152441,293
152441,178
152441,284
152441,337
152441,9
152441,17
152441,56
152441,103
152441,61
152441,99
152441,151
152441,165
152441,338
152441,98
152441,180
152441,173
152441,156
152441,120
152441,177
152441,57
152441,46
152441,321
152441,4
136112,353
136112,326
136112,89
136112,183
136112,246
136112,7
136112,339
136112,12
136112,284
136112,337
136112,103
136112,338
136112,98
136112,147
136112,174
136112,149
136112,177
136112,16
112648,351
112648,326
112648,89
112648,183
112648,246
112648,211
112648,178
112648,143
112648,7
112648,265
112648,126
112648,103
112648,30
112648,145
112648,151
112648,165
112648,176
112648,98
112648,180
112648,175
112648,179
112648,173
112648,156
112648,144
112648,177
21428,352
21428,326
21428,89
21428,183
21428,93
21428,246
21428,211
21428,7
21428,39
21428,218
21428,103
21428,111
21428,30
21428,99
21428,165
21428,131
21428,98
21428,83
21428,156
21428,224
21428,321
21428,109
525818,352
525818,326
525818,89
525818,246
525818,119
525818,7
525818,96
525818,103
525818,207
96064,351
96064,326
96064,89
96064,246
96064,211
96064,178
96064,7
96064,269
96064,84
96064,103
96064,30
96064,99
96064,98
96064,104
96064,120
96064,177
96064,46
96064,4
193053,353
193053,326
193053,89
193053,183
193053,93
193053,246
193053,211
193053,293
193053,182
193053,284
193053,337
193053,103
193053,30
193053,99
193053,165
193053,261
193053,338
193053,348
193053,98
193053,213
193053,277
193053,147
193053,83
193053,210
193053,174
193053,201
193053,149
193053,328
193053,177
193053,41
193053,57
193053,60
193053,321
193053,207
193053,247
193053,279
31683,353
31683,326
31683,89
31683,183
31683,246
31683,211
31683,58
31683,182
31683,106
31683,337
31683,218
31683,103
31683,338
31683,63
31683,105
31683,98
31683,213
31683,156
31683,109
311959,360
311959,246
311959,210
311959,207
311959,6
324047,353
324047,326
324047,89
324047,246
324047,7
324047,12
324047,103
324047,100
324047,98
324047,147
324047,149
324047,4
18766,351
18766,326
18766,89
18766,183
18766,246
18766,211
18766,118
18766,143
18766,7
18766,40
18766,181
18766,287
18766,126
18766,103
18766,30
18766,97
18766,114
18766,165
18766,176
18766,336
18766,338
18766,310
18766,98
18766,175
18766,179
18766,156
18766,144
18766,177
18766,109
18766,207
18766,247
448832,352
448832,326
448832,89
448832,246
448832,178
448832,7
448832,96
448832,103
448832,30
448832,50
448832,98
448832,177
448832,4
528364,351
528364,326
528364,89
528364,246
528364,7
528364,287
528364,103
528364,98
528364,180
528364,177
269156,351
269156,326
269156,89
269156,246
269156,118
269156,178
269156,7
269156,84
269156,103
269156,186
269156,98
269156,180
269156,156
269156,177
269156,207
269156,4
206585,355
206585,246
206585,7
206585,96
206585,103
206585,64
206585,98
206585,109
206585,285
206585,195
155496,358
155496,5
155496,326
155496,89
155496,183
155496,246
155496,178
155496,143
155496,7
155496,181
155496,284
155496,243
155496,337
155496,218
155496,103
155496,192
155496,30
155496,176
155496,336
155496,338
155496,98
155496,180
155496,130
155496,175
155496,179
155496,173
155496,156
155496,104
155496,144
155496,120
155496,177
155496,109
155496,4
59050,353
59050,326
59050,89
59050,183
59050,246
59050,178
59050,7
59050,78
59050,96
59050,126
59050,103
59050,98
59050,180
59050,177
59050,234
59050,225
145473,353
145473,326
145473,89
145473,183
145473,246
145473,272
145473,182
145473,27
145473,103
145473,98
145473,180
145473,174
145473,138
145473,177
145473,188
145473,4
9518,351
9518,326
9518,89
9518,183
9518,246
9518,211
9518,118
9518,7
9518,181
9518,287
9518,106
9518,103
9518,192
9518,30
9518,63
9518,98
9518,268
9518,147
9518,149
9518,109
