NDB_No,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Cleaned_Desc
7974,58.93,253,13.33,20.0,2.93,4.8,0.0,0.0,10.0,0.72,19.0,145.0,156.0,900.0,1.61,0.063,0.011,19.4,24.0,0.029,0.183,6.222,0.616,0.401,6.0,0.0,6.0,6.0,56.9,0.66,25.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,2.7,0.2,10.0,10.8,6.667,8.571,4.275,100.0,15.0,1 serving,,,bacon turkey lo na
8029,3.4,328,9.9,2.1,4.1,80.5,18.3,18.6,44.0,28.0,229.0,449.0,533.0,540.0,5.0,0.5,,52.5,0.0,1.3,1.4,16.7,,1.7,667.0,648.0,19.0,1120.0,33.5,5.0,2500.0,749.0,748.0,0.0,3.0,0.0,0.0,150.0,0.77,3.3,133.0,1.4,0.4,0.3,1.2,0.0,30.0,".75 cup,  (1 NLEA serving)",,,cereals rte post bran flakes
8402,9.37,371,13.7,6.87,1.87,68.18,9.4,1.42,47.0,4.64,270.0,458.0,358.0,3.0,3.2,0.37,4.3,28.9,0.0,0.54,0.12,0.82,0.71,0.1,32.0,0.0,32.0,32.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.42,0.0,0.0,2.0,1.11,1.98,2.3,0.0,40.0,.5 cup,,,cereals quaker quick oats dry
9008,82.28,67,0.18,0.43,0.27,16.84,2.0,14.84,4.0,0.24,3.0,6.0,70.0,3.0,0.05,0.051,0.165,0.3,0.2,0.009,0.01,0.081,0.032,0.044,0.0,0.0,0.0,0.0,3.2,0.0,56.0,3.0,0.0,0.0,24.0,18.0,0.0,18.0,0.21,0.0,0.0,0.6,0.07,0.017,0.126,0.0,204.0,"1 cup, slices",,,apples cnd swtnd sliced drnd htd
9021,86.35,48,1.4,0.39,0.75,11.12,2.0,9.24,13.0,0.39,10.0,23.0,259.0,1.0,0.2,0.078,0.077,0.1,10.0,0.03,0.04,0.6,0.24,0.054,9.0,0.0,9.0,9.0,2.8,0.0,1926.0,96.0,0.0,19.0,1094.0,104.0,0.0,89.0,0.89,0.0,0.0,3.3,0.027,0.17,0.077,0.0,155.0,"1 cup,  halves",165.0,"1 cup, sliced",apricots
9039,78.81,120,2.23,10.06,1.08,7.82,5.6,2.42,10.0,0.17,24.0,40.0,351.0,2.0,0.4,0.311,0.095,,17.4,0.021,0.053,0.672,0.931,0.078,35.0,0.0,35.0,35.0,,0.0,140.0,7.0,0.0,27.0,53.0,36.0,,,2.66,0.0,0.0,,1.96,5.513,1.676,0.0,230.0,"1 cup, pureed",304.0,"1 fruit, without skin and seeds",avocados florida
9040,74.91,89,1.09,0.33,0.82,22.84,2.6,12.23,5.0,0.26,27.0,22.0,358.0,1.0,0.15,0.078,0.27,1.0,8.7,0.031,0.073,0.665,0.334,0.367,20.0,0.0,20.0,20.0,9.8,0.0,64.0,3.0,0.0,25.0,26.0,0.0,0.0,22.0,0.1,0.0,0.0,0.5,0.112,0.032,0.073,0.0,225.0,"1 cup, mashed",150.0,"1 cup, sliced",bananas
9042,88.15,43,1.39,0.49,0.37,9.61,5.3,4.88,29.0,0.62,20.0,22.0,162.0,1.0,0.53,0.165,0.646,0.4,21.0,0.02,0.026,0.646,0.276,0.03,25.0,0.0,25.0,25.0,8.5,0.0,214.0,11.0,0.0,0.0,128.0,0.0,0.0,118.0,1.17,0.0,0.0,19.8,0.014,0.047,0.28,0.0,144.0,1 cup,,,blackberries
9043,90.9,38,0.3,0.6,0.4,7.8,0.1,7.7,12.0,0.48,21.0,12.0,135.0,1.0,0.41,0.114,,0.3,11.3,0.012,0.018,0.446,,0.021,10.0,0.0,10.0,10.0,6.6,0.0,123.0,6.0,0.0,0.0,74.0,0.0,0.0,68.0,0.9,0.0,0.0,15.2,0.018,0.058,0.344,0.0,250.0,1 cup,,,blackberry juice cnd
9044,16.6,333,1.25,0.73,0.97,80.45,2.5,67.15,38.0,0.68,22.0,36.0,376.0,13.0,0.25,0.229,,0.4,19.3,0.058,0.101,0.867,,0.101,11.0,0.0,11.0,11.0,14.7,0.0,2829.0,141.0,0.0,0.0,1697.0,0.0,0.0,173.0,0.17,0.0,0.0,5.1,0.146,0.177,0.194,0.0,40.0,.25 cup,,,cherries tart dried swtnd
