allergy_id,ingredient_id
7881,2025
7881,4042
7881,4528
7881,4532
7881,11485
7881,12061
7881,12062
7881,12063
7881,12110
7881,12115
7881,12117
7881,12119
7881,12142
7881,12147
7881,12155
7881,12179
7881,12195
7881,14054
7881,16091
7881,16156
7881,16392
7881,16399
7881,35233
7881,42291
2286,1004
2286,1006
2286,1007
2286,1009
2286,1015
2286,1017
2286,1019
2286,1020
2286,1023
2286,1025
2286,1028
2286,1031
2286,1033
2286,1035
2286,1036
2286,1038
2286,1040
2286,1045
2286,1048
2286,1049
2286,1053
2286,1077
2286,1093
2286,1094
2286,1145
2286,1156
2286,1161
2286,1178
2286,1179
2286,1186
2286,1187
2286,1204
2286,1238
2286,1251
2286,1256
2286,1270
2286,1286
2286,1295
2286,4602
2286,6010
2286,6043
2286,7033
2286,11485
2286,12115
2286,12117
2286,12195
2286,14054
2286,14130
2286,14639
2286,16156
2286,16223
2286,16399
2286,18223
2286,18272
2286,18373
2286,19095
2286,22899
2286,42291
2286,43274
